Bot #1 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time,    Stdev Turn Time,Bot #2 Type,Pruning,Depth,Heuristic,Wins,Mean Turn Time, Stdev Turn Time,    Mean # Turns/Match,Stdev # Rounds/Match,Mean Sec/Match, Stdev Sec/Match
MINIMAX,T,1,CHAMBER,1,0.0423907703824,0.00220303009552,MINIMAX,F,1,CHAMBER,0,0.0403646230698,0.0046680863304,20.0,0.0,0.785175800323,0.0
MINIMAX,T,1,CHAMBER,1,0.00184275990441,0.000399598892748,MINIMAX,F,2,RATIO,0,0.0395114963705,0.00829932573692,44.0,0.0,0.907984018326,0.0
MINIMAX,T,1,CHAMBER,1,0.100398990843,0.00149548371472,MINIMAX,F,2,VORONOI,0,0.0435542345047,0.00408321420898,20.0,0.0,1.33915090561,0.0
MINIMAX,T,1,CHAMBER,1,0.170411692725,0.00360710754112,MINIMAX,F,2,CHAMBER,0,0.0465144872665,0.011933881579,20.0,0.0,1.99886488914,0.0
MINIMAX,T,1,CHAMBER,1,0.00813125214487,0.00487050749442,MINIMAX,F,3,RATIO,0,0.0325505087309,0.00965832727143,214.0,0.0,4.34498405457,0.0
MINIMAX,T,1,CHAMBER,1,0.178865197377,0.115874126866,MINIMAX,F,3,VORONOI,0,0.0333337119863,0.00960058168323,158.0,0.0,16.5849680901,0.0
MINIMAX,T,1,CHAMBER,1,0.313820665023,0.190062094338,MINIMAX,F,3,CHAMBER,0,0.0339226999948,0.00916481432581,172.0,0.0,29.5922560692,0.0
MINIMAX,T,1,CHAMBER,1,0.0181641938551,0.0125607979545,MINIMAX,F,4,RATIO,0,0.0331833117476,0.00984029955375,214.0,0.0,5.47618985176,0.0
MINIMAX,T,1,CHAMBER,0,0.406418040545,0.304351555635,MINIMAX,F,4,VORONOI,1,0.0285945850976,0.00954018895179,395.0,0.0,86.0756289959,0.0
MINIMAX,T,1,CHAMBER,1,0.583143901117,0.492349002777,MINIMAX,F,4,CHAMBER,0,0.0273918729698,0.00986673505064,406.0,0.0,123.355979919,0.0
MINIMAX,T,1,CHAMBER,1,1.80999437968e-05,2.79648212921e-06,NAIVE,N/A,N/A,N/A,0,0.0361772945949,0.00885875645024,98.0,0.0,1.77362012863,0.0
MINIMAX,T,2,RATIO,0,0.0024687513392,0.00125184374827,MINIMAX,T,1,RATIO,1,0.0067403265335,0.00358309798203,469.0,0.0,2.15097689629,0.0
MINIMAX,T,2,RATIO,1,0.0212115398769,0.00517452012469,MINIMAX,T,1,VORONOI,0,0.00332762644841,0.00181703984456,234.0,0.0,2.85002613068,0.0
